16:07:49.075 [Worker:ClusterController] DEBUG org.apache.hyracks.control.cc.scheduler.DedicatedJobQueue - JobID:JID:0.191 scheduled to DedicatedJobQueue, queue size:1
16:07:49.122 [Worker:ClusterController] DEBUG org.apache.hyracks.control.cc.scheduler.DedicatedJobQueue - JobID:JID:0.195 scheduled to DedicatedJobQueue, queue size:1
16:07:49.224 [Worker:ClusterController] DEBUG org.apache.hyracks.control.cc.scheduler.DedicatedJobQueue - JobID:JID:0.198 scheduled to DedicatedJobQueue, queue size:1
16:07:49.264 [Worker:ClusterController] DEBUG org.apache.hyracks.control.cc.scheduler.DedicatedJobQueue - JobID:JID:0.200 scheduled to DedicatedJobQueue, queue size:1
16:07:49.290 [Worker:ClusterController] DEBUG org.apache.hyracks.control.cc.scheduler.DedicatedJobQueue - JobID:JID:0.203 scheduled to DedicatedJobQueue, queue size:1
16:07:49.316 [Worker:ClusterController] DEBUG org.apache.hyracks.control.cc.scheduler.DedicatedJobQueue - JobID:JID:0.205 scheduled to DedicatedJobQueue, queue size:1
16:07:49.343 [Worker:ClusterController] DEBUG org.apache.hyracks.control.cc.scheduler.DedicatedJobQueue - JobID:JID:0.209 scheduled to DedicatedJobQueue, queue size:1
16:07:49.365 [Worker:ClusterController] DEBUG org.apache.hyracks.control.cc.scheduler.DedicatedJobQueue - JobID:JID:0.212 scheduled to DedicatedJobQueue, queue size:1
16:07:49.399 [Worker:ClusterController] DEBUG org.apache.hyracks.control.cc.scheduler.DedicatedJobQueue - JobID:JID:0.214 scheduled to DedicatedJobQueue, queue size:1
16:07:49.436 [Worker:ClusterController] DEBUG org.apache.hyracks.control.cc.scheduler.DedicatedJobQueue - JobID:JID:0.218 scheduled to DedicatedJobQueue, queue size:1
16:07:49.457 [Worker:ClusterController] DEBUG org.apache.hyracks.control.cc.scheduler.DedicatedJobQueue - JobID:JID:0.219 scheduled to DedicatedJobQueue, queue size:1
16:07:49.511 [Worker:ClusterController] DEBUG org.apache.hyracks.control.cc.scheduler.DedicatedJobQueue - JobID:JID:0.221 scheduled to DedicatedJobQueue, queue size:1
16:07:49.543 [Worker:ClusterController] DEBUG org.apache.hyracks.control.cc.scheduler.DedicatedJobQueue - JobID:JID:0.223 scheduled to DedicatedJobQueue, queue size:1
16:07:49.561 [Worker:ClusterController] DEBUG org.apache.hyracks.control.cc.scheduler.DedicatedJobQueue - JobID:JID:0.224 scheduled to DedicatedJobQueue, queue size:1
16:07:49.578 [Worker:ClusterController] DEBUG org.apache.hyracks.control.cc.scheduler.DedicatedJobQueue - JobID:JID:0.225 scheduled to DedicatedJobQueue, queue size:1
16:07:49.605 [Worker:ClusterController] DEBUG org.apache.hyracks.control.cc.scheduler.DedicatedJobQueue - JobID:JID:0.226 scheduled to DedicatedJobQueue, queue size:1
16:07:49.639 [Worker:ClusterController] DEBUG org.apache.hyracks.control.cc.scheduler.DedicatedJobQueue - JobID:JID:0.229 scheduled to DedicatedJobQueue, queue size:1
16:07:49.710 [Worker:ClusterController] DEBUG org.apache.hyracks.control.cc.scheduler.DedicatedJobQueue - JobID:JID:0.232 scheduled to DedicatedJobQueue, queue size:1
